Tweet,Polarity,Subjectivity,neutral
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"@globeandmail Poll: Were #COVID19 vaccination targets unrealistic? 

#CDNmedia #CDNpoli #CDNhealth",-0.5,1.0,1.0
RT @sufisal: The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic growth despi…,0.2071428571428571,0.4214285714285715,1.0
"RT @WHO: ""And, as the emergence of the new [#COVID19] XBB.1.16 variant illustrates, the virus is still changing, and is still capable of ca…",0.1681818181818181,0.4272727272727272,1.0
"RT @ActivateImpact: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choos…",-0.5,0.5,1.0
RT @P_McCulloughMD: Dr. Hazan @Progenabiome @SabinehazanMD  treated severely hypoxemic acute #COVID19 published her results and had full @U…,0.475,0.7250000000000001,1.0
"Given @BBC reported on 2020.01.26 in print* &amp; video** of the asymptomatic spread of #COVID19,  it seems appropriate to insert “and people” into Einstein’s quote:

 “We cannot solve our problems with the same thinking (and people) we used when we created them.”

My view on a Dr.… https://t.co/J6Mx435G8z https://t.co/rLJCgILXP4",0.25,0.3125,1.0
Tell it like it is! #COVID19 https://t.co/ZkAQtVLu0N,0.0,0.0,1.0
"RT @BigBadDenis: World moving out of COVID-19 emergency phase: the World Health Organisation's chief says

#COVID19 @WHO @DrTedros 

Source…",0.0,0.0,1.0
RT @BrianKiely2: @lisa_iannattone It is surreal what is happening in Healthcare globally. Unwilling to attribute any blame to #Covid19 for…,0.125,0.5,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"RT @EpochTimes: #CDC officials have made multiple false statements this month regarding possible #COVID19 vaccine side effects, continuing…",-0.1333333333333333,0.5333333333333333,1.0
"RT @eullrich11: At my primary care doctor in Kentucky, I’m (OF COURSE) the only one wearing a mask and have gotten a lot of side eye, but w…",0.2,0.75,1.0
"RT @DrLiMengYAN1: Here is a compiled file of several threads posted by @daoyu recently, rejecting “novel findings of nature-origin”
Because…",0.0,0.125,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"RT @ONS: The rate of absence from work because of sickness or injury continued to rise in 2022, after the #COVID19 lockdown helped drive it…",-0.0125,0.0,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
RT @DanaGarrison: FREE - Shutterstock giving out some free stock images for small #business and #entreprenerus in these #covid19 times: htt…,0.1833333333333333,0.6666666666666666,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"RT @ActivateImpact: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choos…",-0.5,0.5,1.0
"RT @JamieMetzl: I am a deep believer in science and a strong supporter of scientists. I’m also a critic of @PeterDaszak, who failed to disc…",-0.0222222222222222,0.4777777777777778,1.0
"https://t.co/AN2Qb5ZAas It has been a while since #HurricaneSandy🌀&amp; #COVID19 #Pandemic💉hit #NYC &amp; #VeteransAffairs #Hospitals🏥still have not acquired the #MegScan, 

#DTI Scan, High Definition Fiber Tractography (#HDFT) Scans, SPECT Scans, #VGN Scans &amp; #DigitalMotionXRay (DMX)… https://t.co/4KlSoLuv2R",0.16,0.5399999999999999,1.0
"RT @Activate1M1B: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choose…",-0.5,0.5,1.0
"During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choose verified sources. 

Take the #DigitalNagrik pledge for #DigitalSafety at https://t.co/XNihlydQxI 

@SDG2030 @ActivateImpact @safeinternetday @Rajeev_GoI… https://t.co/Ap4FvxkNYX https://t.co/qW6EDcgnul",-0.5,0.5,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"RT @MCRI_for_kids: 👨‍⚕️A Murdoch Children’s led international #trial into the immune-boosting benefits of the #tuberculosis vaccine, #BCG,…",0.0,0.0,1.0
RT @WHOWPRO: You can prevent post #COVID19 condition by taking measures to prevent the infection: https://t.co/jro4EDGXwj,0.0,0.0,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"RT @UNICEFAngola: With thanks to @USAID in Angola, @UNICEF continues to support Government of #Angola to integrate #COVID19 vaccine in rout…",0.2,0.2,1.0
"I know...I know Dr. @lisa_iannattone I should not laugh...but I have every right to! #LymeDisease #COVID19 #LongCovid Victim/survivor/warrior...I made a friend(normally they are NOT mainstream Dr's, this one was different) Watch my friend in his video
https://t.co/cFm6D4AlPW https://t.co/0k41iuyMPe",0.1785714285714285,0.5678571428571428,1.0
"RT @MCRI_for_kids: 👨‍⚕️A Murdoch Children’s led international #trial into the immune-boosting benefits of the #tuberculosis vaccine, #BCG,…",0.0,0.0,1.0
"During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choose verified sources. 

Take the #DigitalNagrik pledge for #DigitalSafety at https://t.co/MG8i4ZM6XD 

@SDG2030 @Activate1M1B @Rajeev_GoI @elonmusk @ravikarkara https://t.co/83zVLtMw3h",-0.5,0.5,1.0
"Given @BBC reported on 2020.01.26 in print* &amp; video** of the asymptomatic spread of #COVID19,  it seems appropriate to insert “and people” into Einstein’s quote:

 “We cannot solve our problems with the same thinking (and people) we used when we created them.”

My view on a Dr.… https://t.co/9veGQ20oVL https://t.co/l6HtWOgaNq",0.25,0.3125,1.0
RT @ScoopUrban: Tommy speaks out on @ABridgen being 'permanently expelled' from the CONservative party due to his factual stances on the CO…,-0.125,0.375,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"RT @mvankerkhove: I recently ended a #COVID19 talk @rpi w four important questions, which I ask to all of you involved in science, public h…",0.1333333333333333,0.4388888888888889,1.0
"Never forgive. Never forget. They knew. They lied. There was malicious intent. The have sown the wind, they shall reap the whirlwind. #Fauci #COVID19 https://t.co/kCad4MarKD",0.0,0.0,1.0
"Watch: New cases on April 17-23 up by 32% from previous week

Download the A-Time News App and get updated with the latest news all over the world! https://t.co/bsTxunqDHU

#covid19 #COVID19cases #newcovid19cases #octaresearch",0.1982323232323232,0.5070707070707071,1.0
"RT @DigitalNagrik: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choose…",-0.5,0.5,1.0
"RT @BigBadDenis: No truth to anti-vaxxers’ claims linking COVID vaccine and sudden cardiac arrest: study

#COVID19 

Source: https://t.co/L…",-0.0333333333333333,0.1666666666666666,1.0
"RT @mvankerkhove: I recently ended a #COVID19 talk @rpi w four important questions, which I ask to all of you involved in science, public h…",0.1333333333333333,0.4388888888888889,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"Given @BBC reported on 2020.01.26 in print* &amp; video** of the asymptomatic spread of #COVID19,  it seems appropriate to insert “and people” into Einstein’s quote:

 “We cannot solve our problems with the same thinking (and people) we used when we created them.”

My view on a Dr.… https://t.co/g8iWmbvWgQ https://t.co/SH4t9lHE8T",0.25,0.3125,1.0
"RT @Inquiry_Canada: @WeAreCanProud Explosive evidence about Canada's response to #COVID19 coming from our witnesses right now!

https://t.c…",0.3571428571428571,0.5357142857142857,1.0
"RT @WHO: ""The #COVID19 pandemic was a powerful demonstration of the lifesaving power of vaccines.

This week marks #WorldImmunizationWeek.…",0.3,1.0,1.0
"RT @MassGeneralNews: Researchers report that when #PalliativeCare physicians were placed in the emergency department early in #COVID19, the…",0.1,0.3,1.0
RT @Saffiya_Khan1: How can you be hopeful of being able to declare an end of the pandemic as a public health emergency when governments are…,0.25,0.3458333333333333,1.0
"RT @MCRI_for_kids: 👨‍⚕️A Murdoch Children’s led international #trial into the immune-boosting benefits of the #tuberculosis vaccine, #BCG,…",0.0,0.0,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"RT @meganranney: The FL treatise on risk of heart disease after #covid19 vaccines was not only shoddy science, it was *actual manipulation…",-0.0999999999999999,0.5333333333333333,1.0
"RT @DrLiMengYAN1: Here is a compiled file of several threads posted by @daoyu recently, rejecting “novel findings of nature-origin”
Because…",0.0,0.125,1.0
"World moving out of COVID-19 emergency phase: the World Health Organisation's chief says

#COVID19 @WHO @DrTedros 

Source: https://t.co/RRZRddOyGW https://t.co/YGyPq7VDMl",0.0,0.0,1.0
"RT @WHO: ""And, as the emergence of the new [#COVID19] XBB.1.16 variant illustrates, the virus is still changing, and is still capable of ca…",0.1681818181818181,0.4272727272727272,1.0
"RT @WHO: ""An estimated 1 in 10 infections results in post #COVID19 condition, suggesting that hundreds of millions of people will need long…",0.0,0.0,1.0
"RT @VidmaxMedia: This witch, Jacinda Ardern, forced New Zealanders to take the COVID death jab and now the country enjoys a 3,203% increase…",-0.0818181818181818,0.3272727272727272,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
RT @sufisal: The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic growth despi…,0.2071428571428571,0.4214285714285715,1.0
"RT @Inquiry_Canada: FYI: Our #YouTube channel will not be live-streaming the Red Deer, Alberta hearings. We have been temporarily suspended…",0.0,0.0,1.0
RT @sufisal: The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic growth despi…,0.2071428571428571,0.4214285714285715,1.0
"RT @Inquiry_Canada: #NCI Spokesperson, @MichelleLCatlin releases another thought-provoking blog about the National Citizens Inquiry, Saskat…",0.4,0.3,1.0
"RT @Inquiry_Canada: FYI: Our #YouTube channel will not be live-streaming the Red Deer, Alberta hearings. We have been temporarily suspended…",0.0,0.0,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
RT @DrEricDing: 📍Florida surgeon general “personally altered” key findings in study on #Covid19 vaccine safety. Researchers at Johns Hopkin…,0.0166666666666666,0.6,1.0
"RT @WHO_Europe: #COVID19 vaccine booster doses are especially important for older adults, people with other health conditions, and health w…",0.2805555555555555,0.5694444444444444,1.0
"RT @NAACP_LDF: Today, @AFTunion President @rweingarten spoke to the House Select Subcommittee on the Coronavirus Pandemic on the need to ad…",0.0,0.0,1.0
RT @gorskon: Surprise! Surprise! @politico has busted @FLSurgeonGen for having altered a @HealthyFla study to lie with statistics and make…,0.0,0.0,1.0
The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic growth despite the pandemic under @ImranKhanPTI leadership. Compare Pakistan and India’s  response to #COVID19 https://t.co/NKCQpUeXmA,0.2071428571428571,0.4214285714285715,1.0
"RT @RobertTGarrett: 'Absolutely thrilled.'

Champions of Texas State Parks have waited for decades for a breakout moment such as what might…",0.3,0.6,1.0
"RT @Poker__Faace: If I wasn’t feeling so rotten, I’d be feeling extremely sorry for myself🤒 #COVID19 https://t.co/I5A0PTKCRJ",-0.5,1.0,1.0
This not-so-dynamic duo is so close to understanding. Only their utter lack of self-awareness prevents them from seeing how well this post applies to them and their fellow #COVID19 contrarians and grifters. https://t.co/VCXnVvalch,0.0,1.0,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"https://t.co/zm7mRo7lO6 It has been a while since #HurricaneSandy🌀&amp; #COVID19 #Pandemic💉hit #NYC &amp; #VeteransAffairs #Hospitals🏥still have not acquired the #MegScan, 

#DTI Scan, High Definition Fiber Tractography (#HDFT) Scans, SPECT Scans, #VGN Scans &amp; #DigitalMotionXRay (DMX)… https://t.co/edkYbf1m2e",0.16,0.5399999999999999,1.0
"RT @DrLiMengYAN1: Here is a compiled file of several threads posted by @daoyu recently, rejecting “novel findings of nature-origin”
Because…",0.0,0.125,1.0
This is @newscorpaus #propaganda from Baxendale. Is she seriously arguing #facemasks are not a key device in inhibiting the transmission of #covid19? Sheesh. But her framing is animated by that BS “freedom” ideology not the realities &amp; imperatives of #publichealth? “#journalism”. https://t.co/iHCpyA09HT,-0.1444444444444444,0.5888888888888889,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"Coronavirus Update:
☣️️ Total cases: 686,689,708 (+4,117) ☣️️
⚠️ Current cases: 20,566,070 (-848) ⚠️
⚰️ Deaths: 6,860,981 (+39) ⚰️
🏥 Recovered: 659,262,657 (+4,926) 🏥

Updated every 2 hours
#Coronavirus #COVID19 #COVIDー19
Source: https://t.co/nFY1lZJJ2I",0.0,0.575,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"RT @MHTTCNetwork: April is #StressAwarenessMonth! Since #COVID19, we have developed resources geared to behavioral health providers and bui…",0.1,0.3,1.0
"RT @maskedannie5: Did you feel forced/coerced to take the #covid19 shots?

@JustinTrudeau 
*SHARE FOR REACH*",0.0,0.0,1.0
"RT @maskedannie5: Did you feel forced/coerced to take the #covid19 shots?

@JustinTrudeau 
*SHARE FOR REACH*",0.0,0.0,1.0
"RT @DaliaHasanMD: The pandemic IS a golden opportunity to advance society by:

✅ increasing #PaidSickDays
✅ keeping 😷 in health care/essent…",0.3,0.5,1.0
"RT @Inquiry_Canada: @WeAreCanProud Explosive evidence about Canada's response to #COVID19 coming from our witnesses right now!

https://t.c…",0.3571428571428571,0.5357142857142857,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
.@BorisJohnson: Hold a public inquiry into the Government's handling of the Covid-19 pandemic #Covid19 - Sign the Petition! https://t.co/hrmLACXGFy via @UKChange,0.0,0.0666666666666666,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"Since the start of the pandemic, 1,159,456 Americans have died from #COVID19 (16.9% of all deaths worldwide). That is about the same as 20,341 Northridge earthquakes which killed 57 people in 1994: https://t.co/KJr5QcdhJQ",-0.1,0.0625,1.0
"Don't let bags ruin #wrenchs for you.
- Arnold Rimmer

#ArnoldRimmer

#COVID19  #opioid  #like4like",0.0,0.0,1.0
New COVID-19 Data at 2023-04-26 07:00:01 pm EDT #Coronavirus #COVID19 #COVID_19 https://t.co/aPxOb2xVUs,0.1363636363636363,0.4545454545454545,1.0
"Researchers have designed a #VaccinePrinter that can produce #COVID19  mRNA vaccines on the go, as part of the intense effort to get more  people inoculated.

https://t.co/wfwgCEv0FP",0.35,0.75,1.0
"RT @DrLiMengYAN1: Here is a compiled file of several threads posted by @daoyu recently, rejecting “novel findings of nature-origin”
Because…",0.0,0.125,1.0
"RT @UNDecadeAgeing: It's #WorldImmunizationWeek! 💉

#COVID19 showed us that vaccination is crucial to deliver universal health coverage and…",0.0,0.5,1.0
"Feeling unwell &amp; not sure if it’s COVID-19?  
Help is available. Visit #Healthdirect to take a #COVID19 symptom &amp; oral treatments eligibility test. 

Take the test at💻https://t.co/l1Jw56JHrY https://t.co/F8myrbpqym",0.075,0.6444444444444444,1.0
"Changes in Brain Function Persist for Months in Those with Long COVID https://t.co/3UgEfrLqgz 

#neurology #neuroscience #covid19 @AANmember",-0.05,0.4,1.0
"RT @maskedannie5: Did you feel forced/coerced to take the #covid19 shots?

@JustinTrudeau 
*SHARE FOR REACH*",0.0,0.0,1.0
"RT @VernonForGA: Dr Fauci used American tax dollars to fund the Wuhan, China lab that created the Covid virus. It leaked out and 1,000,000…",0.0,0.0,1.0
"RT @arizonan8tive: @AwakenedOutlaw https://t.co/d11ASnSGuC 
How Evil, Corrupt and Insidious our Deep State and Shadow Governments of the Wo…",-0.5,0.7999999999999999,1.0
RT @Saffiya_Khan1: How can you be hopeful of being able to declare an end of the pandemic as a public health emergency when governments are…,0.25,0.3458333333333333,1.0
